tree,level,leaf,left_count,right_count
0,0,0,992058,7942
0,1,0,984090,7968
0,1,1,0,7942
0,2,0,976190,7900
0,2,1,0,0
0,2,2,0,7968
0,2,3,0,7942
0,3,0,968282,7908
0,3,1,0,0
0,3,2,0,0
0,3,3,0,0
0,3,4,0,7900
0,3,5,0,0
0,3,6,0,7968
0,3,7,0,7942
0,4,0,960417,7865
0,4,1,0,0
0,4,2,0,0
0,4,3,0,0
0,4,4,0,0
0,4,5,0,0
0,4,6,0,0
0,4,7,0,0
0,4,8,0,7908
0,4,9,0,0
0,4,10,0,0
0,4,11,0,0
0,4,12,0,7900
0,4,13,0,0
0,4,14,0,7968
0,4,15,0,7942
0,5,0,952603,7814
0,5,1,0,0
0,5,2,0,0
0,5,3,0,0
0,5,4,0,0
0,5,5,0,0
0,5,6,0,0
0,5,7,0,0
0,5,8,0,0
0,5,9,0,0
0,5,10,0,0
0,5,11,0,0
0,5,12,0,0
0,5,13,0,0
0,5,14,0,0
0,5,15,0,0
0,5,16,0,7865
0,5,17,0,0
0,5,18,0,0
0,5,19,0,0
0,5,20,0,0
0,5,21,0,0
0,5,22,0,0
0,5,23,0,0
0,5,24,0,7908
0,5,25,0,0
0,5,26,0,0
0,5,27,0,0
0,5,28,0,7900
0,5,29,0,0
0,5,30,0,7968
0,5,31,0,7942
1,0,0,992058,7942
1,1,0,984090,7968
1,1,1,0,7942
1,2,0,976190,7900
1,2,1,0,0
1,2,2,0,7968
1,2,3,0,7942
1,3,0,968282,7908
1,3,1,0,0
1,3,2,0,0
1,3,3,0,0
1,3,4,0,7900
1,3,5,0,0
1,3,6,0,7968
1,3,7,0,7942
1,4,0,960417,7865
1,4,1,0,0
1,4,2,0,0
1,4,3,0,0
1,4,4,0,0
1,4,5,0,0
1,4,6,0,0
1,4,7,0,0
1,4,8,0,7908
1,4,9,0,0
1,4,10,0,0
1,4,11,0,0
1,4,12,0,7900
1,4,13,0,0
1,4,14,0,7968
1,4,15,0,7942
1,5,0,952603,7814
1,5,1,0,0
1,5,2,0,0
1,5,3,0,0
1,5,4,0,0
1,5,5,0,0
1,5,6,0,0
1,5,7,0,0
1,5,8,0,0
1,5,9,0,0
1,5,10,0,0
1,5,11,0,0
1,5,12,0,0
1,5,13,0,0
1,5,14,0,0
1,5,15,0,0
1,5,16,0,7865
1,5,17,0,0
1,5,18,0,0
1,5,19,0,0
1,5,20,0,0
1,5,21,0,0
1,5,22,0,0
1,5,23,0,0
1,5,24,0,7908
1,5,25,0,0
1,5,26,0,0
1,5,27,0,0
1,5,28,0,7900
1,5,29,0,0
1,5,30,0,7968
1,5,31,0,7942
2,0,0,992058,7942
2,1,0,984090,7968
2,1,1,0,7942
2,2,0,976190,7900
2,2,1,0,0
2,2,2,0,7968
